state,ev,phev,hev,biodiesel,e85,cng,propane,hydrogen,gasoline,diesel
AL,4700,3300,42500,40500,449500,500,100,0,4051000,123500
AK,1300,500,7300,7600,50100,100,0,0,464200,31700
AZ,40700,15500,132200,51000,460400,900,900,0,5395300,191800
AR,2400,1800,26100,28700,290200,300,0,0,2241600,88800
CA,563100,315300,1355900,163600,1343200,12600,1500,11800,30512600,710500
CO,37000,16100,113600,53800,346700,600,100,0,4456600,208400
CT,13300,9200,55400,8800,140700,400,0,0,2578400,44300
DE,3000,2000,16700,4100,67400,100,0,0,796400,14600
DC,3700,2500,16100,300,17400,100,0,0,278900,2100
FL,95600,32200,287000,129300,1154600,600,100,0,15595900,336900
GA,34000,13600,128200,70200,745200,700,300,0,8123100,203200
HI,14200,4500,28800,2800,42200,100,0,0,968200,15700
ID,3500,2500,30400,33400,132500,300,100,0,1545500,133500
IL,36500,18300,214300,48100,822300,800,100,0,8657800,169900
IN,10400,7500,88200,41100,587400,800,100,0,5149000,151600
IA,3700,3600,42500,31100,343600,300,0,0,2525400,100900
KS,4500,3300,38300,21400,260900,400,100,0,2158100,85900
KY,4200,3100,48300,27100,365800,600,0,0,3422900,116200
LA,3200,2000,26000,54400,413200,300,0,0,3185200,115000
ME,3000,4200,25500,9100,112200,100,0,0,1044300,27400
MD,25600,17200,130900,27700,347200,400,0,0,4380600,89500
MA,30500,22200,138800,17500,306900,400,0,0,4816400,59700
MI,17500,17200,106400,52100,912200,500,100,0,7067400,173200
MN,15000,8900,95200,40100,548700,300,0,0,4342800,128700
MS,1300,1100,18700,27400,305000,200,0,0,2289900,76000
MO,10000,7200,85600,55800,602500,1800,100,0,4582100,172100
MT,1600,1100,13900,27500,100500,100,0,0,761800,70900
NE,2700,2000,23700,21600,202500,200,0,0,1574900,73800
NV,17400,6300,50200,21300,133600,300,100,0,2140700,84700
NH,4000,3500,27000,11300,102800,200,0,0,1187400,29300
NJ,47800,18500,121500,23900,412200,500,100,0,6346100,86400
NM,4200,2800,32800,25200,156900,200,100,0,1569000,87600
NY,51900,44600,221600,43000,663700,900,100,0,10116400,152400
NC,25200,13500,151600,61000,687700,800,200,0,7685800,210000
ND,400,400,5400,16000,95700,100,0,0,607000,42800
OH,21200,13100,143700,54600,875100,1200,100,0,9019200,199200
OK,7100,6900,38700,50700,391100,2400,300,0,3429700,148500
OR,30300,16900,123200,43900,193700,300,100,0,3094700,217800
PA,26800,17800,168200,58600,723000,1200,100,0,9035500,195000
RI,2500,2400,16300,2500,44100,100,0,0,796100,11300
SC,7400,4700,57400,32100,411800,400,100,0,4200600,104900
SD,700,700,8700,16900,105000,100,0,0,726200,51100
TN,12200,6300,79800,38400,511000,500,100,0,5396100,150200
TX,80900,30600,304700,376300,2422300,2200,1600,0,20599100,765100
UT,16500,7500,58500,51600,190200,2600,700,0,2428900,153800
VT,3400,3200,15800,5600,42000,100,0,0,511900,15000
VA,30700,15800,176500,35300,506600,600,100,0,6661000,154300
WA,66800,24300,240000,59000,359700,600,100,0,5792000,283600
WV,1000,1000,14500,13900,129800,200,0,0,1268300,46100
WI,9300,7700,93500,39800,556500,700,100,0,4639100,143300
WY,500,400,5700,17100,59400,100,0,0,482400,62100
